"set","n_genes","source_type","source","defined_in","note","genes"
"App dropdown: CM maturation",14,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Atp2a2, Ccnd1, Ckm, Cox6a2, Mki67, Myh6, Myh7, Myl2, Nppa, Nppb, Pln, Tnni1, Tnni3, Top2a"
"App dropdown: CM subtypes",14,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Aurkb, Bmp10, Ccnb1, Cdca8, Hey2, Irx3, Mki67, Myh7, Myl2, Myl7, Nppa, Sln, Tbx20, Top2a"
"App dropdown: E2F repressors",2,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","E2f7, E2f8"
"App dropdown: E2F targets",29,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Aurkb, Birc5, Bub1, Ccna2, Ccnb1, Ccnb2, Ccne1, Ccne2, Cdc20, Cdc25a, Cdc6, Cdk1, Cdt1, Cenpa, Cenpe, E2f1, Foxm1, Mcm2, Mcm3, Mcm4, Mcm5, Mcm6, Mcm7, Mki67, Pcna, Plk1, Rrm2, Tk1, Top2a"
"App dropdown: Endothelial",5,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Cdh5, Egfl7, Fabp4, Kdr, Pecam1"
"App dropdown: Fibroblast",5,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Col1a1, Col1a2, Dcn, Gsn, Pdgfra"
"App dropdown: Immune / myeloid",5,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","C1qa, Cd68, Csf1r, Lyz2, Ptprc"
"App dropdown: Mural / pericyte",5,"hand-curated (no source recorded)","shiny_app/app.R","shiny_app/app.R:63","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Used only to filter the gene dropdowns; it does not feed any score.","Acta2, Myh11, Pdgfrb, Rgs5, Tagln"
"Cell type: Cardiomyocyte",6,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Actc1, Myh6, Nppa, Tnni3, Tnnt2, Ttn"
"Cell type: Endocardial",2,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Npr3, Plvap"
"Cell type: Endothelial",5,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Cdh5, Egfl7, Fabp4, Kdr, Pecam1"
"Cell type: Epicardial",3,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Msln, Upk3b, Wt1"
"Cell type: Fibroblast",5,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Col1a1, Col1a2, Dcn, Gsn, Pdgfra"
"Cell type: Immune_Myeloid",5,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","C1qa, Cd68, Csf1r, Lyz2, Ptprc"
"Cell type: Mural_Pericyte",5,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Acta2, Myh11, Pdgfrb, Rgs5, Tagln"
"Cell type: Neuronal_Glial",3,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Kcna1, Plp1, Sox10"
"Cell type: RBC",2,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:64","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Drives the celltype annotation in annotate.R by marker-module argmax, so these choices set the cell-type calls.","Hba-a1, Hbb-bs"
"CM immature program",7,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:91","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Ccnd1, Mki67, Myh7, Nppa, Nppb, Tnni1, Top2a"
"CM mature program",7,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:90","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Atp2a2, Ckm, Cox6a2, Myh6, Myl2, Pln, Tnni3"
"CM selection markers",6,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:54","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Actc1, Myh6, Myh7, Nppa, Tnnt2, Ttn"
"CM subtype: Atrial",3,"hand-curated (no source recorded)","our_analysis/05_analyses/cm_subtypes.R","our_analysis/05_analyses/cm_subtypes.R:10","The script header attributes these to the prior pipeline's _env.R CARDIAC_MARKERS, but that file is NOT in this repository -- the pointer cannot be followed, so this is effectively unsourced.","Myl7, Nppa, Sln"
"CM subtype: Compact",3,"hand-curated (no source recorded)","our_analysis/05_analyses/cm_subtypes.R","our_analysis/05_analyses/cm_subtypes.R:10","The script header attributes these to the prior pipeline's _env.R CARDIAC_MARKERS, but that file is NOT in this repository -- the pointer cannot be followed, so this is effectively unsourced.","Hey2, Irx3, Tbx20"
"CM subtype: Cycling",5,"hand-curated (no source recorded)","our_analysis/05_analyses/cm_subtypes.R","our_analysis/05_analyses/cm_subtypes.R:10","The script header attributes these to the prior pipeline's _env.R CARDIAC_MARKERS, but that file is NOT in this repository -- the pointer cannot be followed, so this is effectively unsourced.","Aurkb, Ccnb1, Cdca8, Mki67, Top2a"
"CM subtype: Trabecular",3,"hand-curated (no source recorded)","our_analysis/05_analyses/cm_subtypes.R","our_analysis/05_analyses/cm_subtypes.R:10","The script header attributes these to the prior pipeline's _env.R CARDIAC_MARKERS, but that file is NOT in this repository -- the pointer cannot be followed, so this is effectively unsourced.","Bmp10, Hey2, Nppa"
"CM subtype: Ventricular",2,"hand-curated (no source recorded)","our_analysis/05_analyses/cm_subtypes.R","our_analysis/05_analyses/cm_subtypes.R:10","The script header attributes these to the prior pipeline's _env.R CARDIAC_MARKERS, but that file is NOT in this repository -- the pointer cannot be followed, so this is effectively unsourced.","Myh7, Myl2"
"Cycling markers",10,"hand-curated (no source recorded)","our_analysis/05_analyses/cm_cycling_investigate.R","our_analysis/05_analyses/cm_cycling_investigate.R:33","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Aurkb, Birc5, Bub1, Ccnb1, Ccnb2, Cdca8, Cdk1, Cenpa, Mki67, Top2a"
"E2F targets",29,"hand-curated (no source recorded)","our_analysis/_common.R","our_analysis/_common.R:79","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. The code comment calls it a 'curated canonical set'; that phrasing should not be read as a citation. Note it is heavily cell-cycle weighted, so a high E2F-target score in a cycling cell is close to tautological.","Aurkb, Birc5, Bub1, Ccna2, Ccnb1, Ccnb2, Ccne1, Ccne2, Cdc20, Cdc25a, Cdc6, Cdk1, Cdt1, Cenpa, Cenpe, E2f1, Foxm1, Mcm2, Mcm3, Mcm4, Mcm5, Mcm6, Mcm7, Mki67, Pcna, Plk1, Rrm2, Tk1, Top2a"
"Sex markers",5,"hand-curated (no source recorded)","our_analysis/05_analyses/sex_check.R","our_analysis/05_analyses/sex_check.R:9","Xist plus four Y-linked genes. Conventional and effectively unambiguous for sexing, unlike the phenotype panels -- listed for completeness.","Ddx3y, Eif2s3y, Kdm5d, Uty, Xist"
"Signature: ccexit",8,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Btg2, Cdkn1a, Cdkn1b, Cdkn1c, Cdkn2a, Gadd45a, Meis1, Rb1"
"Signature: cytokinesis",14,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Anln, Aurkb, Cdca8, Cep55, Cit, Ect2, Incenp, Kif20b, Kif23, Mklp1, Prc1, Racgap1, Sept7, Sept9"
"Signature: faox",14,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Feeds sig_metabolic.","Acaa2, Acadl, Acadm, Acadvl, Cox6a2, Cpt1a, Cpt1b, Cpt2, Etfa, Hadha, Hadhb, Ndufa4, Ppargc1a, Sdha"
"Signature: glycolysis",11,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Feeds sig_metabolic (FAO/OXPHOS minus glycolysis).","Aldoa, Eno1, Gapdh, Hk1, Hk2, Ldha, Pfkl, Pfkm, Pgk1, Pkm, Slc2a1"
"Signature: mat_immature",9,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Feeds sig_maturation. Contains Ccnd1/Mki67/Top2a, so the score is partly a cell-cycle score.","Actc1, Ccnd1, Mki67, Myh7, Myl7, Nppa, Nppb, Tnni1, Top2a"
"Signature: mat_immature_nocc",6,"derived from another set in this table","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","mat_immature with the three cell-cycle genes removed, to break the circularity above.","Actc1, Myh7, Myl7, Nppa, Nppb, Tnni1"
"Signature: mat_mature",10,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked. Feeds sig_maturation, the maturation score shown in the app.","Actn2, Atp2a2, Ckm, Ckmt2, Cox6a2, Csrp3, Myh6, Myl2, Pln, Tnni3"
"Signature: prolif",17,"hand-curated (no source recorded)","shiny_app/build_signature_scores.R","shiny_app/build_signature_scores.R:48","Typed into this project with no citation. The individual genes are standard markers, but the selection is not traceable to a published list and cannot be version-checked.","Aurka, Aurkb, Birc5, Bub1, Ccnb1, Ccnb2, Cdc20, Cdk1, Cenpa, Cenpe, Cenpf, Cks2, Mki67, Nusap1, Top2a, Tpx2, Ube2c"
