ID,name,Yinit,Ymax,tau,module,genes,data_orient,notes
Pkmyt1,Myt1,0,1,1,cellcycle,Pkmyt1,direct,t=+2.81 - the mitotic brake that actually rises. Wee1 goes the other way (t=-1.32).
Cdc25,Cdc25 phosphatases,0,1,1,cellcycle,Cdc25a;Cdc25b,excluded,Opposes Pkmyt1. Cdc25b 0.90 -> 0.61.
MitCompRaw,mitotic competence (raw),0,1,1,cellcycle,,,Brakes only - deliberately NOT gated on SPhase. Competence is conditional on entry; prevalence lives in SPhase alone.
MitoticEntry,mitotic entry / NEB,0,1,4,cellcycle,,,"Sharpening gate. If this never fires: G2 arrest, no envelope breakdown, nuclear polyploidization. Target 0.7698 at hiPSC."
Cdc20,Cdc20 / APC-C,0,1,1,cellcycle,Cdc20;Fzr1,direct,"Fzr1 is the APC/C co-activator; Cdh1 in the gene list is E-CADHERIN (4->0% detected). Murganti: polyploid cells show no APC activation."
Ect2,Ect2 (RhoGEF),0,1,3,cytokinesis,Ect2,direct,"t=-6.17, 3rd percentile genome-wide. THE maturational lesion, and a known E2F7/8 repression target (Pandit 2012)."
RhoA,RhoA,0,1,2,cytokinesis,Rhoa,direct,"t=-3.82 but the 29th percentile genome-wide - significant, NOT specific. Included as Ect2's substrate, not as an independent finding."
Centralspindlin,centralspindlin,0,1,1,cytokinesis,Racgap1;Kif23,direct,Comparator: essentially flat (t = -1.73 / -1.49). Driven by E2F activity only - no maturation term.
AurKB,Aurora B / borealin,0,1,1,cytokinesis,Aurkb;Birc5;Incenp;Cdca8,direct,Comparator: t=+1.17 (up if anything). Murganti's midbody readout.
Anillin,anillin,0,1,1,cytokinesis,Anln;Cit;Prc1,direct,Comparator: flat (t=-1.48).
Midbody,midbody / Cep55,0,1,1,cytokinesis,Cep55,direct,ESCRT recruitment for abscission.
AbsRaw,abscission competence (raw),0,1,1,cytokinesis,,,Competence gate input.
Abscission,abscission,0,1,3,cytokinesis,,,"Sharpening gate. Mitosis WITHOUT this = binucleation. Target 0.5028 at hiPSC."
Ki67,Ki-67,0,1,1,observable,Mki67,direct,"2.28 in cycling vs 0.02 in noncycling. An explicit instantaneous-prevalence output, kept distinct from the cumulative fate fractions."
Quiescent,quiescent / exited,0,1,24,fate,,,Fate 1.
Division,productive division,0,1,23.6,fate,,,"Fate 2. tau from the measured 16.38 h S/G2/M (0.693*tau); a definition, not a prediction."
Binucleation,binucleation,0,1,24.9,fate,,,Fate 3. tau from 17.29 h.
Polyploidization,nuclear polyploidization,0,1,35.3,fate,,,Fate 4. tau from 24.50 h - the significantly longer one.
